Batch Year,No. of Persons selected,Amount of Scholarship
2015-2016,282,Rs. 5000/-p.m for 02 years in six monthly installments.
2016-2017,310,Rs. 5000/-p.m for 02 years in six monthly installments.
2017-2018,317,Rs. 5000/-p.m for 02 years in six monthly installments.
