site_name,state,type,latitude,longitude
Taj Mahal,Uttar Pradesh,Monument,27.1751,78.0421
Hampi,Karnataka,Archaeological Site,15.335,76.46
Khajuraho,Madhya Pradesh,Temple,24.8318,79.9199
Ajanta Caves,Maharashtra,Cave,20.5519,75.7
